index,set
4949,train
25216,train
15436,train
8791,train
11655,train
180,train
5963,train
17850,train
14597,train
16995,train
9972,train
21707,train
23601,train
6097,train
26468,train
9261,train
16039,train
27873,train
17402,train
12194,train
29803,train
2421,train
18499,train
12901,train
26496,train
8774,train
28523,train
15850,train
22025,train
17321,train
18649,train
1403,train
4870,train
22378,train
24390,train
7951,train
20865,train
25150,train
11164,train
994,train
8079,train
12123,train
14572,train
14767,train
1987,train
24569,train
28904,train
8939,train
20107,train
29448,train
15476,train
20848,train
17435,train
13271,train
4489,train
2753,train
17306,train
7614,train
6109,train
24602,train
11418,train
11998,train
3768,train
17541,train
1601,train
6411,train
5171,train
22553,train
2799,train
15942,train
20309,train
13432,train
26638,train
1945,train
17532,train
25890,train
22165,train
15361,train
17400,train
29982,train
14810,train
19437,train
6370,train
13937,train
11933,train
1397,train
16054,train
20567,train
21852,train
15105,train
23134,train
20047,train
9985,train
7966,train
10358,train
9441,train
26410,train
22106,train
4925,train
26071,train
3050,train
23630,train
12547,train
14832,train
22755,train
14628,train
13493,train
5700,train
3399,train
15932,train
8879,train
24291,train
2272,train
19215,train
360,train
6799,train
15457,train
15495,train
10155,train
26267,train
20383,train
22787,train
29358,train
2524,train
24117,train
21825,train
18923,train
5698,train
20419,train
26655,train
3906,train
14159,train
9310,train
5676,train
16187,train
23410,train
28946,train
21185,train
27422,train
15023,train
19905,train
11335,train
8301,train
27175,train
7491,train
6981,train
11776,train
11343,train
6160,train
19093,train
1003,train
29984,train
9141,train
27653,train
14028,train
11356,train
25563,train
11193,train
9146,train
7849,train
932,train
25151,train
13641,train
20544,train
9686,train
24151,train
9331,train
12110,train
10955,train
80,train
21602,train
4865,train
24578,train
28466,train
23347,train
26511,train
10181,train
430,train
3421,train
7991,train
23641,train
23921,train
4441,train
28386,train
2602,train
6399,train
11310,train
4659,train
3754,train
527,train
18766,train
1488,train
9782,train
11459,train
26148,train
9292,train
19435,train
24246,train
1779,train
9592,train
21778,train
8303,train
27885,train
18142,train
3332,train
2042,train
24434,train
16297,train
29635,train
23578,train
29826,train
27220,train
10631,train
7098,train
15570,train
23586,train
25530,train
29,train
11956,train
21305,train
14389,train
21163,train
16299,train
1777,train
2859,train
23954,train
6431,train
9557,train
2100,train
8388,train
14068,train
95,train
16260,train
11319,train
6998,train
5197,train
4576,train
901,train
23229,train
9075,train
6002,train
12758,train
7481,train
2446,train
11660,train
18097,train
22955,train
19758,train
27940,train
16429,train
154,train
22055,train
11399,train
14924,train
20779,train
13690,train
16810,train
28648,train
11462,train
24064,train
19028,train
21219,train
867,train
948,train
29240,train
11377,train
24040,train
19981,train
26065,train
17033,train
19157,train
29165,train
26251,train
15898,train
26697,train
6377,train
2148,train
11383,train
16506,train
22944,train
10218,train
726,train
22058,train
27004,train
24891,train
25721,train
13331,train
17707,train
16707,train
5794,train
23737,train
534,train
21535,train
12811,train
18556,train
8529,train
14109,train
11989,train
13091,train
16652,train
22652,train
7682,train
9058,train
20306,train
228,train
16615,train
21638,train
29561,train
22919,train
12403,train
9762,train
9381,train
9908,train
2195,train
32,train
26748,train
8087,train
19870,train
10271,train
15728,train
6464,train
8261,train
28841,train
1658,train
23936,train
1747,train
632,train
6139,train
14913,train
29949,train
18096,train
19639,train
28052,train
3322,train
26008,train
14738,train
20460,train
8211,train
23204,train
12820,train
20170,train
9854,train
6247,train
5926,train
11242,train
28066,train
21183,train
29542,train
10264,train
4809,train
24654,train
749,train
58,train
1534,train
3946,train
23445,train
5469,train
4785,train
5544,train
15641,train
13814,train
17125,train
9901,train
18139,train
2731,train
28487,train
6766,train
24626,train
11021,train
11161,train
19294,train
15896,train
18473,train
8676,train
1087,train
23117,train
3946,train
27950,train
24153,train
12945,train
15416,train
16026,train
20693,train
18214,train
12741,train
24070,train
24159,train
15849,train
16098,train
11949,train
22545,train
2984,train
27587,train
1914,train
4302,train
9493,train
3810,train
1318,train
7914,train
18270,train
1667,train
2413,train
19048,train
28232,train
6279,train
5337,train
3957,train
8265,train
27848,train
24661,train
5928,train
27880,train
2171,train
80,train
5654,train
16942,train
3290,train
29268,train
14292,train
3973,train
12823,train
2761,train
867,train
9071,train
1584,train
11344,train
16755,train
16540,train
14385,train
29693,train
1484,train
19738,train
9041,train
3457,train
21139,train
10452,train
7152,train
9628,train
17207,train
28036,train
19869,train
18803,train
4054,train
11932,train
28733,train
15987,train
11230,train
27425,train
25348,train
17887,train
1055,train
13778,train
6524,train
5354,train
23888,train
7568,train
18264,train
6872,train
8822,train
15865,train
24397,train
2370,train
28833,train
22494,train
24981,train
25824,train
10089,train
27514,train
25150,train
11907,train
3019,train
9691,train
14925,train
11725,train
15831,train
21411,train
7064,train
10493,train
14875,train
4236,train
1143,train
9547,train
12094,train
24593,train
12876,train
18605,train
27560,train
16583,train
16933,train
25632,train
18547,train
14863,train
12711,train
8495,train
17737,train
6819,train
10344,train
25803,train
19842,train
1438,train
6193,val
5093,val
23774,val
11668,val
8614,val
22636,val
29661,val
19429,val
23358,val
10557,val
17948,val
18501,val
5618,val
20980,val
25299,val
3443,val
2910,val
21667,val
14093,val
1412,val
27871,val
7992,val
22796,val
12571,val
14795,val
1648,val
25450,val
15762,val
21885,val
22576,val
11364,val
714,val
1704,val
24100,val
12292,val
1807,val
18665,val
7788,val
16993,val
28544,val
13449,val
495,val
6358,val
24914,val
2852,val
27056,val
16014,val
18216,val
21727,val
1014,val
17578,val
10513,val
1837,val
9260,val
5416,val
24228,val
7090,val
23714,val
6444,val
5983,val
2996,val
12523,val
24198,val
27711,val
6113,val
1797,val
23281,val
4521,val
10736,val
3629,val
22021,val
1247,val
24470,val
8326,val
5346,val
29885,val
7933,val
17689,val
7974,val
4448,val
26152,val
5951,val
18367,val
9004,val
8821,val
26505,val
666,val
10073,val
5380,val
14419,val
24414,val
17488,val
27461,val
2969,val
20120,val
3703,val
25780,val
13331,val
22371,val
12945,val
13970,val
22670,val
20056,val
15857,val
23702,val
4945,val
11233,val
25606,val
4095,test
3467,test
3737,test
417,test
4916,test
3725,test
1686,test
457,test
1942,test
4341,test
2505,test
2411,test
342,test
3403,test
3341,test
1766,test
3840,test
4611,test
3544,test
4763,test
3299,test
1914,test
2491,test
4111,test
1291,test
3889,test
845,test
2545,test
2786,test
1357,test
2358,test
2518,test
966,test
3122,test
427,test
389,test
563,test
2992,test
1806,test
658,test
458,test
2021,test
4120,test
1746,test
1159,test
1963,test
2493,test
2926,test
1310,test
2646,test
2074,test
1322,test
934,test
4817,test
808,test
194,test
1030,test
916,test
3150,test
2945,test
4007,test
2971,test
4090,test
2626,test
2393,test
4517,test
152,test
1701,test
4123,test
3570,test
1550,test
703,test
1179,test
1926,test
2794,test
2628,test
1135,test
4403,test
4018,test
2217,test
2394,test
3385,test
1356,test
3386,test
1221,test
3916,test
2298,test
2308,test
3331,test
1899,test
431,test
1943,test
2189,test
2856,test
1234,test
3378,test
3355,test
163,test
4978,test
221,test
2016,test
3088,test
2133,test
3269,test
3852,test
3102,test
2414,test
4536,test
