theta,m,t,delta,set
0.86,1,0.19368667051579047,1.0,train
0.92,1,1.3300483242004266,1.0,train
0.86,1,1.7614701017470338,1.0,train
0.92,1,0.3258123917338972,1.0,train
0.86,1,0.18754521426994408,0.0,train
0.86,1,1.5193237868116174,1.0,train
0.92,1,1.9961468724359026,0.0,train
0.86,0,0.9534405613913712,0.0,train
0.10000000000000009,0,1.2571768173899518,0.0,train
0.86,0,4.523251137450284,0.0,train
0.92,1,0.2079895311604238,1.0,train
0.10000000000000009,0,0.7608375544599426,0.0,train
0.92,1,1.7391178162845193,0.0,train
0.10000000000000009,0,1.6131932847646557,0.0,train
0.78,0,5.498377726052775,0.0,train
0.86,1,0.3187857648445963,1.0,train
0.92,1,0.7691464199482028,1.0,train
0.92,1,0.30323672222345827,1.0,train
0.55,1,0.7797419832748157,1.0,train
0.86,0,4.015792172228018,0.0,train
0.10000000000000009,0,2.124324757590571,0.0,train
0.55,1,0.10082211050209772,1.0,train
0.78,1,1.3269461501007078,1.0,train
0.92,1,1.8354999591110712,1.0,train
0.86,1,0.7332051310109126,1.0,train
0.55,1,0.5275749944517601,1.0,train
0.86,1,0.7738805688869805,1.0,train
0.78,1,0.9949037346215611,1.0,train
0.86,1,0.13871511261079839,1.0,train
0.55,0,3.9240512728218704,0.0,train
0.78,1,0.04051666496081948,1.0,train
0.10000000000000009,1,0.06122696061975869,1.0,train
0.92,1,3.9268303873306025,1.0,train
0.86,1,1.7245776923321408,1.0,train
0.78,1,0.3053156013445013,0.0,train
0.10000000000000009,1,0.7863464390399751,1.0,train
0.78,1,1.3757752677792043,0.0,train
0.78,0,1.3967371665304646,0.0,train
0.86,0,0.43989572071908256,0.0,train
0.10000000000000009,0,5.962831836050999,0.0,train
0.55,1,0.09994829544185757,1.0,train
0.55,0,2.1677784023030906,0.0,train
0.55,0,5.882670513635465,0.0,train
0.92,1,0.06904686270948934,1.0,train
0.78,1,1.1773980199813732,1.0,train
0.55,1,1.4093404503032296,1.0,train
0.10000000000000009,0,1.498528166035522,0.0,train
0.55,1,0.09223118237156355,1.0,train
0.86,1,0.929835806787578,1.0,train
0.55,1,1.0304727606047432,1.0,train
0.92,1,0.43598899515236644,1.0,train
0.10000000000000009,0,3.729647288196448,0.0,train
0.86,1,1.055371664489067,1.0,train
0.10000000000000009,0,4.959144107418041,0.0,train
0.55,1,0.15719809209010477,1.0,train
0.78,0,3.6471799671593983,0.0,train
0.10000000000000009,1,0.09497507086100174,1.0,train
0.10000000000000009,0,4.456409229942204,0.0,train
0.86,1,0.17032579831141262,1.0,train
0.10000000000000009,0,1.503681395437102,0.0,train
0.92,1,4.0219946708339975,1.0,train
0.55,0,5.2426371424821845,0.0,train
0.92,1,1.5113537275634992,1.0,train
0.55,1,0.004210026748015405,0.0,train
0.86,1,0.7486464789528543,1.0,train
0.92,1,1.1292699187101658,0.0,train
0.55,1,0.6272163918849389,1.0,train
0.10000000000000009,0,4.363316534644499,0.0,train
0.55,1,0.7346234929361791,1.0,train
0.10000000000000009,0,2.8430518854745124,0.0,train
0.55,1,0.7815273480566957,1.0,train
0.55,1,1.3047037079825403,1.0,train
0.55,1,0.18516262288315116,1.0,train
0.86,0,3.4799213479770055,0.0,train
0.92,1,2.05129238840562,1.0,train
0.55,0,3.7128442549986715,0.0,train
0.78,1,1.8663619971329715,1.0,train
0.55,0,2.296597090461752,0.0,train
0.86,1,0.9759429231540423,1.0,train
0.92,1,1.5450242953452187,1.0,train
