theta,m,t,delta,set
1.5141277326297755,0,4.544959245968157,0.0,train
2.5257286443082556,1,0.24228537996151944,0.0,train
0.10536051565782635,0,1.2891182434927337,0.0,train
1.5141277326297755,2,0.4418993586946079,1.0,train
1.5141277326297755,1,0.426688201959313,1.0,train
0.7985076962177716,1,0.25446023259249595,1.0,train
1.5141277326297755,2,0.1804174823121802,1.0,train
2.5257286443082556,1,2.207364186985001,1.0,train
0.10536051565782635,0,5.071481316942425,0.0,train
0.7985076962177716,0,2.3757905946205806,0.0,train
2.5257286443082556,3,0.40873736410527817,1.0,train
0.7985076962177716,0,4.146874969204838,0.0,train
2.5257286443082556,3,0.8831720692814153,1.0,train
0.7985076962177716,0,5.000108218356704,0.0,train
1.9661128563728327,1,0.782666967654089,1.0,train
0.10536051565782635,0,5.2307550462110814,0.0,train
2.5257286443082556,1,1.1109350885063798,1.0,train
0.10536051565782635,0,4.537692282361623,0.0,train
0.7985076962177716,0,4.750755108420328,0.0,train
0.10536051565782635,0,4.006466466548162,0.0,train
0.10536051565782635,0,3.6393540479280038,0.0,train
1.9661128563728327,0,1.3437612745225245,0.0,train
1.9661128563728327,1,0.6754940281800009,1.0,train
1.9661128563728327,1,0.32546649124298843,1.0,train
2.5257286443082556,1,1.0084587437177706,1.0,train
1.9661128563728327,0,4.298519393137972,0.0,train
1.5141277326297755,0,1.1964292055759218,0.0,train
0.10536051565782635,0,1.1220534662445727,0.0,train
2.5257286443082556,2,0.3134579451125054,1.0,train
0.7985076962177716,0,1.4289773532718744,0.0,train
0.7985076962177716,1,0.43355433168477614,1.0,train
1.5141277326297755,1,1.1964241696437312,1.0,train
0.10536051565782635,0,1.4639387682034588,0.0,train
1.5141277326297755,0,0.6145689525790874,0.0,train
0.10536051565782635,0,3.920692279622887,0.0,train
1.5141277326297755,1,0.15792460527110985,0.0,train
0.10536051565782635,0,5.613497638314762,0.0,train
0.10536051565782635,0,4.7179217710782035,0.0,train
0.7985076962177716,2,0.004258464914647764,0.0,train
1.5141277326297755,3,0.08906154111278013,1.0,train
0.10536051565782635,1,1.2462414761845124,1.0,train
1.9661128563728327,0,0.5865992562851523,0.0,train
0.10536051565782635,0,4.704225683393932,0.0,train
1.5141277326297755,2,0.058505589673315116,1.0,train
0.10536051565782635,0,4.818553077073441,0.0,train
2.5257286443082556,0,5.121902902305109,0.0,train
0.10536051565782635,0,5.554852503682748,0.0,train
1.5141277326297755,2,0.4929904884084352,1.0,train
0.7985076962177716,1,0.8743951781986341,0.0,train
0.7985076962177716,2,0.03194914397263715,0.0,train
1.5141277326297755,0,4.338735150875371,0.0,train
1.9661128563728327,3,0.04867208520826819,1.0,train
0.10536051565782635,0,4.953770054336105,0.0,train
1.5141277326297755,1,1.1410656816791114,1.0,train
0.7985076962177716,1,0.006741243922713817,1.0,train
1.9661128563728327,1,0.1863052693221531,1.0,train
1.5141277326297755,1,0.81558438269899,1.0,train
0.10536051565782635,0,1.6539016310894832,0.0,train
1.5141277326297755,0,5.932325984152444,0.0,train
1.9661128563728327,3,0.6030032023305664,1.0,train
2.5257286443082556,1,0.12803088449289507,1.0,train
