theta,m,t,delta,set
0.0208516376390232,0,4.265278354925773,0.0,train
0.26127204121130776,3,0.35202105964895586,1.0,train
0.26127204121130776,2,0.5855683656588562,1.0,train
0.0208516376390232,0,1.4923846856496104,0.0,train
0.0208516376390232,0,5.254782739152263,0.0,train
0.3965823663454837,1,0.18697767918302693,1.0,train
0.26127204121130776,0,5.642195959223528,0.0,train
0.32512147770404876,2,0.01862381226866816,0.0,train
0.14760184159617418,0,1.4102996284737315,0.0,train
0.3965823663454837,2,0.01899078133347761,1.0,train
0.3965823663454837,1,1.7695404949711515,1.0,train
0.3965823663454837,1,0.5816836243936153,1.0,train
0.32512147770404876,1,0.19368769933718358,1.0,train
0.14760184159617418,1,0.49477823722868425,1.0,train
0.14760184159617418,0,0.20435724120366916,0.0,train
0.0208516376390232,0,0.5595647829125161,0.0,train
0.0208516376390232,0,0.4987406050406116,0.0,train
0.0208516376390232,1,0.15948240267841074,1.0,train
0.3965823663454837,2,1.2621129942197902,1.0,train
0.32512147770404876,1,0.13296831231997355,1.0,train
0.26127204121130776,2,0.4072294771108029,1.0,train
0.14760184159617418,1,0.49221849143087837,1.0,train
0.32512147770404876,2,1.2375423308837596,1.0,train
0.14760184159617418,1,0.2517441751997615,1.0,train
0.14760184159617418,2,0.9426364682513915,0.0,train
0.14760184159617418,0,3.3963661990636753,0.0,train
0.14760184159617418,0,0.8734390865498398,0.0,train
0.32512147770404876,2,0.0395721468138323,1.0,train
0.3965823663454837,0,2.2145222808647347,0.0,train
0.14760184159617418,1,0.4642288043777657,1.0,train
0.0208516376390232,0,1.3424340729821478,0.0,train
0.26127204121130776,1,0.4247597068649526,1.0,train
0.3965823663454837,3,0.20026567795847236,1.0,train
0.32512147770404876,1,0.7631773328604827,1.0,train
0.3965823663454837,3,0.02854791517768632,1.0,train
0.26127204121130776,1,0.3465747080561551,1.0,train
0.3965823663454837,2,0.16488068160751343,1.0,train
0.32512147770404876,4,0.2342039097636627,1.0,train
0.32512147770404876,2,0.011629927845511466,1.0,train
0.14760184159617418,0,3.56461097669197,0.0,train
0.14760184159617418,0,1.405895543352827,0.0,train
0.26127204121130776,0,5.9006912763722745,0.0,train
0.32512147770404876,3,0.14772592837081452,1.0,train
0.0208516376390232,0,2.009122643873199,0.0,train
0.3965823663454837,4,0.04966051488864108,1.0,train
0.32512147770404876,2,0.47926761758358216,0.0,train
0.3965823663454837,3,0.5240411053121881,1.0,train
0.3965823663454837,2,0.5333506519804014,1.0,train
0.3965823663454837,1,0.9604006154753574,1.0,train
