theta,m,t,delta,set
0.44999999999999996,1,0.07598627773438162,1.0,train
0.21999999999999997,0,2.584777754779724,0.0,train
0.07999999999999999,2,0.29944320030547317,1.0,train
0.44999999999999996,3,0.1411984398405187,1.0,train
0.07999999999999999,19,0.02580912201749168,1.0,train
0.21999999999999997,3,0.11105815092725038,1.0,train
0.07999999999999999,4,0.04161529818107725,1.0,train
0.8999999999999999,0,5.903510709209029,0.0,train
0.44999999999999996,1,0.6522023263449309,1.0,train
0.21999999999999997,4,0.2185056975095373,1.0,train
0.8999999999999999,1,0.04319850561772829,1.0,train
0.14,4,0.06066892565099529,1.0,train
0.8999999999999999,0,0.8039780166355293,0.0,train
0.07999999999999999,8,0.09830429002076943,1.0,train
0.14,1,0.10865870146185322,1.0,train
0.07999999999999999,11,0.026174315987292873,1.0,train
0.07999999999999999,13,0.0992279841259629,1.0,train
0.21999999999999997,4,0.16401831092561833,1.0,train
0.07999999999999999,3,0.3047550752040368,1.0,train
0.44999999999999996,2,0.9193283875795042,1.0,train
0.14,2,0.4503085413249922,1.0,train
0.44999999999999996,1,2.1121142619931654,1.0,train
0.07999999999999999,11,0.22422185686699023,1.0,train
0.14,5,0.03905184032756772,1.0,train
0.44999999999999996,0,3.7905924365933004,0.0,train
0.21999999999999997,0,0.8515905437036915,0.0,train
0.44999999999999996,1,0.9519408115651434,1.0,train
0.21999999999999997,5,0.12866880396495833,1.0,train
0.21999999999999997,2,1.3268696279599521,1.0,train
0.07999999999999999,1,0.4607889612363912,1.0,train
0.21999999999999997,20,0.06011933041768694,1.0,train
0.07999999999999999,13,0.048783017728138756,1.0,train
0.8999999999999999,0,3.223003279079588,0.0,train
0.44999999999999996,0,5.5241976029962965,0.0,train
0.21999999999999997,6,0.2178451067476813,1.0,train
0.8999999999999999,0,0.9743615276319719,0.0,train
0.14,0,5.868093542860146,0.0,train
0.44999999999999996,0,2.9878648549428,0.0,train
0.44999999999999996,1,0.06769486663529864,1.0,train
0.21999999999999997,0,4.448915573330835,0.0,train
0.07999999999999999,0,2.029299748926843,0.0,train
0.21999999999999997,6,0.0004583504340610702,1.0,train
0.14,10,0.026561802729115028,1.0,train
0.21999999999999997,2,0.337320181940758,1.0,train
0.14,1,1.6719968032378463,1.0,train
0.21999999999999997,1,2.3413227590266144,1.0,train
0.21999999999999997,1,1.3080050235525427,1.0,train
0.07999999999999999,2,0.13114458141765006,1.0,train
0.44999999999999996,2,0.9190926861476324,1.0,train
0.14,13,0.10246223404611005,1.0,train
0.8999999999999999,0,2.274976159233802,0.0,train
0.14,11,0.04651107941129512,1.0,train
0.07999999999999999,16,0.11594151712337653,1.0,train
0.8999999999999999,1,2.742073015253358,1.0,train
0.07999999999999999,5,0.0015880643900803397,1.0,train
0.8999999999999999,1,0.7396582556016814,1.0,train
0.21999999999999997,1,0.22709103980842937,1.0,train
0.14,7,0.1894426584973894,1.0,train
0.44999999999999996,3,0.15339830564105844,1.0,train
0.44999999999999996,0,3.9410412706678395,0.0,train
0.07999999999999999,5,0.01574334990700943,1.0,train
0.44999999999999996,1,0.7526997946902225,0.0,train
0.14,15,0.11567777858471019,1.0,train
0.44999999999999996,7,0.001134966861465683,1.0,train
0.07999999999999999,30,0.03276856391883391,1.0,train
0.8999999999999999,0,3.9868925842997953,0.0,train
0.14,0,1.4209022487748018,0.0,train
0.8999999999999999,0,5.961442952900191,0.0,train
0.07999999999999999,5,0.14304121435136535,1.0,train
0.8999999999999999,0,5.389488247378271,0.0,train
0.14,9,0.20392379146252926,1.0,train
0.21999999999999997,3,0.33560416931086023,0.0,train
0.14,0,5.208244546565441,0.0,train
0.07999999999999999,5,0.009240948635096852,1.0,train
0.8999999999999999,0,1.38728611593518,0.0,train
0.8999999999999999,0,0.8611456755905889,0.0,train
0.07999999999999999,0,1.1321575269847017,0.0,train
0.44999999999999996,2,0.5486920587398736,1.0,train
0.14,2,1.0040353115882676,1.0,train
0.44999999999999996,6,0.010255358822419056,1.0,train
0.21999999999999997,1,1.2931644716270891,1.0,train
0.8999999999999999,1,0.0066473674575875845,1.0,train
0.14,0,3.2420622810432462,0.0,train
0.14,18,0.005728417601037784,1.0,train
0.44999999999999996,1,0.876618544644439,1.0,train
0.14,7,0.13177615070584833,1.0,train
0.21999999999999997,2,0.023057953694917574,1.0,train
0.14,4,0.040949383835196605,1.0,train
0.14,5,0.3353274191857542,1.0,train
0.8999999999999999,0,5.714861926019383,0.0,train
0.14,2,0.5967772237571725,0.0,train
0.8999999999999999,1,0.9282283219860887,0.0,train
0.21999999999999997,6,0.15047277820487498,1.0,train
0.21999999999999997,3,0.49933398831056564,0.0,train
0.44999999999999996,1,0.31093207673952383,1.0,train
0.44999999999999996,0,5.462692694815213,0.0,train
0.44999999999999996,0,1.7018480137492569,0.0,train
0.44999999999999996,1,0.16300889195054524,0.0,train
0.8999999999999999,0,0.47714541216777295,0.0,train
0.07999999999999999,16,0.07505586278361986,1.0,train
0.14,6,0.06710815700066076,1.0,train
0.8999999999999999,0,5.646257857521949,0.0,train
0.44999999999999996,0,1.511309931125486,0.0,train
0.14,1,1.6016127542634009,1.0,train
0.14,7,0.0050239043966870366,1.0,train
0.21999999999999997,3,0.30765876746416126,1.0,train
0.07999999999999999,49,0.0013279619224951962,1.0,train
0.07999999999999999,13,0.010770693794655584,1.0,train
0.21999999999999997,5,0.010133592419127249,1.0,train
0.21999999999999997,2,0.7202798622354117,1.0,train
0.21999999999999997,1,1.388890922474162,1.0,train
0.07999999999999999,11,0.08048036943755692,1.0,train
0.44999999999999996,1,0.33223144211649885,1.0,train
0.07999999999999999,10,0.006146234991522789,1.0,train
0.8999999999999999,0,5.061918236707257,0.0,train
0.8999999999999999,0,1.6843811594739204,0.0,train
0.07999999999999999,19,0.10955708905687284,1.0,train
0.8999999999999999,0,1.73431273982143,0.0,train
0.8999999999999999,1,1.4861496532281586,1.0,train
0.44999999999999996,1,0.4039468223894895,1.0,train
0.07999999999999999,4,0.16408059535004638,1.0,train
0.8999999999999999,0,1.27406867397365,0.0,train
0.21999999999999997,0,5.002394447485682,0.0,train
0.8999999999999999,0,5.656638399024147,0.0,train
0.07999999999999999,15,0.05429974572924984,1.0,train
0.8999999999999999,1,0.30839717926955806,1.0,train
0.07999999999999999,19,0.0075168040500120485,1.0,train
0.44999999999999996,1,1.7399705985007505,1.0,train
0.8999999999999999,0,3.412013852518659,0.0,train
0.21999999999999997,0,5.138945090367292,0.0,train
0.07999999999999999,2,0.4940930289642738,1.0,train
0.07999999999999999,17,0.01696925835666202,1.0,train
0.07999999999999999,9,0.01020811742352407,1.0,train
0.14,11,0.038973971782997885,1.0,train
0.8999999999999999,0,3.111433588539608,0.0,train
0.21999999999999997,2,0.6613583934463296,1.0,train
0.07999999999999999,0,0.07644566681613885,0.0,train
0.8999999999999999,0,5.445589305659798,0.0,train
0.07999999999999999,16,0.02169938373648101,1.0,train
0.44999999999999996,1,1.874126822836466,0.0,train
0.21999999999999997,0,3.4523692935609125,0.0,train
0.14,1,1.074208919227411,1.0,train
0.44999999999999996,3,0.1544107039657457,1.0,train
0.14,0,4.313662718667458,0.0,train
0.07999999999999999,14,0.0063464817869045825,1.0,train
0.21999999999999997,3,0.30932367025825536,0.0,train
0.8999999999999999,0,4.250089086669748,0.0,train
0.14,2,0.13929404473518742,1.0,train
0.44999999999999996,3,0.36185571508120146,1.0,train
0.14,1,0.6508407735090821,1.0,train
0.07999999999999999,29,0.06927718558803031,1.0,train
0.44999999999999996,1,0.8853839167265214,0.0,train
0.14,12,0.04479419679482999,0.0,train
0.07999999999999999,2,0.7778602702157261,1.0,train
0.07999999999999999,3,0.5329952398760157,1.0,train
0.21999999999999997,0,0.3185308810411045,0.0,train
0.14,8,0.058582873817103635,1.0,train
0.8999999999999999,0,1.5841617466899025,0.0,train
0.14,9,0.020260159289786375,1.0,train
0.8999999999999999,0,5.879824410620707,0.0,train
0.14,3,0.10182685528924638,1.0,train
0.8999999999999999,1,0.15312519492079546,1.0,train
0.8999999999999999,0,3.127729392831692,0.0,train
0.21999999999999997,0,5.783009064320385,0.0,train
0.44999999999999996,0,5.666274536163231,0.0,train
0.14,5,0.23415369265029615,1.0,train
0.8999999999999999,0,0.7317269360596854,0.0,train
0.8999999999999999,0,0.7963056050218875,0.0,train
0.07999999999999999,39,0.02041044028662564,1.0,train
0.21999999999999997,0,2.3226366245768384,0.0,train
0.21999999999999997,1,1.2314715024285197,1.0,train
0.14,1,0.40068200654552116,1.0,train
0.21999999999999997,3,0.1926437059174637,1.0,train
0.8999999999999999,0,0.3032759138409067,0.0,train
0.14,2,0.13744231880400515,1.0,train
0.07999999999999999,1,0.7275096198428037,1.0,train
0.21999999999999997,0,4.589280179553825,0.0,train
0.07999999999999999,1,0.5934333345598829,1.0,train
0.44999999999999996,2,0.039976477525422036,1.0,train
0.8999999999999999,0,5.254748411809558,0.0,train
0.14,2,0.2142244300959568,1.0,train
0.44999999999999996,1,1.1693587510137482,1.0,train
0.21999999999999997,4,0.32127552979414004,1.0,train
0.21999999999999997,10,0.05716420621700972,1.0,train
0.14,0,0.8460972823757531,0.0,train
0.07999999999999999,5,0.1250318178333744,1.0,train
0.44999999999999996,3,0.5485699057387542,1.0,train
0.21999999999999997,2,0.4552007276280723,0.0,train
0.8999999999999999,0,5.517455392089411,0.0,train
0.14,11,0.06525445231778407,1.0,train
0.21999999999999997,2,0.7824922303581636,1.0,train
0.14,5,0.028211179334726142,1.0,train
0.07999999999999999,34,0.0071555629221072194,1.0,train
0.07999999999999999,9,0.15063093304440256,1.0,train
0.21999999999999997,3,0.3914367411423961,1.0,train
0.21999999999999997,3,0.07220879694086262,1.0,train
0.8999999999999999,0,0.24850179806441264,0.0,train
0.07999999999999999,6,0.11876122545512893,1.0,train
0.14,13,0.09345333136067575,1.0,train
0.07999999999999999,13,0.16068069452889255,1.0,train
0.44999999999999996,0,2.9901649255504776,0.0,train
0.14,45,0.047962643963350475,1.0,train
0.14,2,0.5711353554846098,1.0,train
0.44999999999999996,0,0.3601423389029599,0.0,train
0.07999999999999999,10,0.1309903642332234,1.0,train
0.14,3,1.8475846554477209,1.0,train
0.8999999999999999,0,5.897026462047807,0.0,train
0.21999999999999997,2,0.24207171144959205,1.0,train
0.21999999999999997,11,0.004489012242600936,1.0,train
0.07999999999999999,1,3.529490092079877,0.0,train
0.44999999999999996,0,2.045817586704579,0.0,train
0.07999999999999999,9,0.0018957754277050785,1.0,train
0.8999999999999999,0,3.652066152836551,0.0,train
0.8999999999999999,0,4.149989096265351,0.0,train
0.14,1,0.513790858358961,1.0,train
0.21999999999999997,2,0.2380859378301932,1.0,train
0.44999999999999996,1,0.0012861149736079407,1.0,train
0.14,2,0.4979488490539392,1.0,train
0.07999999999999999,3,0.3752429107502159,1.0,train
0.14,9,0.34151876987144075,1.0,train
0.44999999999999996,0,0.9124967569559934,0.0,train
0.44999999999999996,0,4.987533945915063,0.0,train
0.44999999999999996,0,4.35057281396218,0.0,train
