index,set
5038,train
27124,train
15912,train
7573,train
22856,train
998,train
2242,train
9826,train
28551,train
11704,train
24814,train
7201,train
10853,train
11726,train
4453,train
29945,train
21329,train
18883,train
25531,train
11274,train
9285,train
6007,train
5155,train
24551,train
4370,train
14201,train
10191,train
13675,train
1718,train
23332,train
7150,train
8857,train
21870,train
4567,train
4242,train
17215,train
10757,train
25917,train
27409,train
5834,train
14584,train
5222,train
556,train
22957,train
16056,train
28782,train
22688,train
5896,train
14842,train
2592,train
3492,train
3506,train
13543,train
29009,train
2899,train
15644,train
15170,train
2572,train
10319,train
20753,train
11541,train
2686,train
6580,train
3448,train
20153,train
7019,train
16328,train
23011,train
12920,train
16389,train
12729,train
19847,train
8477,train
13763,train
5217,train
21659,train
21110,train
26045,train
11418,train
4359,train
19084,train
530,train
21309,train
20887,train
21680,train
28615,train
27513,train
4198,train
13958,train
7856,train
15417,train
3946,train
13070,train
862,train
9755,train
27810,train
17108,train
18813,train
25331,train
10214,train
6659,train
1505,train
4299,train
1875,train
24721,train
4128,train
6053,train
8746,train
29156,train
3215,train
4462,train
8353,train
10250,train
25169,train
21155,train
20050,train
8597,train
10637,train
4461,train
12492,train
1907,train
12910,train
1461,train
28936,train
6347,train
23167,train
16524,train
26388,train
12538,train
23366,train
5271,train
7282,train
5130,train
18176,train
29164,train
8851,train
27720,train
4814,train
22869,train
18062,train
12498,train
26183,train
6908,train
11100,train
24696,train
4148,train
12306,train
22503,train
22079,train
26010,train
3859,train
18695,train
29135,train
12149,train
8453,train
5433,train
6146,train
19406,train
1914,train
19522,train
8760,train
22179,train
6789,train
24463,train
1885,train
28115,train
27378,train
23634,train
27240,train
6904,train
13837,train
5578,train
25280,train
26034,train
27438,train
8826,train
15942,train
10969,train
14170,train
17771,train
7309,train
3757,train
22112,train
19786,train
6323,train
8874,train
28007,train
15868,train
15203,train
23650,train
1014,train
20134,train
17657,train
11937,train
23527,train
15423,train
14379,train
12646,train
20179,train
2482,train
17796,train
13976,train
23714,train
11012,train
1565,train
18745,train
2820,train
14533,train
2724,train
25728,train
22147,train
27761,train
5667,train
25364,train
16937,train
2844,train
26665,train
1856,train
17890,train
20816,train
18533,train
28338,train
4243,train
21589,train
25644,train
4100,train
7607,train
23548,train
17570,train
4680,train
16881,train
28338,train
23783,train
313,train
29268,train
21985,train
17820,train
15446,train
1284,train
29167,train
8107,train
23812,train
15195,train
6177,train
11658,train
13199,train
26181,train
5343,train
6517,train
28087,train
28050,train
17838,train
27719,train
3990,train
18944,train
23184,train
10294,train
25049,train
2074,train
14143,train
1474,train
9175,train
10904,train
17538,train
19186,train
19518,train
6027,train
21174,train
8642,train
5642,train
21714,train
15603,train
10799,train
14716,train
20451,train
27814,train
25973,train
24074,train
28559,train
21882,train
28965,train
27266,train
3969,train
8540,train
15832,train
7655,train
10117,train
6331,train
10570,train
3526,train
8054,train
18643,train
2025,train
26989,train
297,train
11705,train
12968,train
16941,train
2809,train
5342,train
4063,train
8650,train
1702,train
22401,train
16096,train
8411,train
1863,train
3263,train
12527,train
11019,train
4917,train
257,train
1046,train
