theta,m,t,delta,set
0.9486832980505138,0,0.9728186577297366,0.0,train
0.4690415759823429,0,2.8771267629745845,0.0,train
0.9486832980505138,0,1.2148830772704458,0.0,train
0.37416573867739417,0,4.99864763260042,0.0,train
0.282842712474619,5,0.03946677944503564,1.0,train
0.6708203932499369,0,1.6293823318350127,0.0,train
0.37416573867739417,3,0.46419372235987666,1.0,train
0.37416573867739417,0,5.62374345088818,0.0,train
0.37416573867739417,2,0.07437993296355884,1.0,train
0.282842712474619,2,0.6561657653449503,1.0,train
0.282842712474619,0,2.1916858161593917,0.0,train
0.282842712474619,2,0.27721534335698605,1.0,train
0.37416573867739417,0,3.2128384520046915,0.0,train
0.282842712474619,0,0.8271727793076307,0.0,train
0.37416573867739417,1,0.10205300360936545,1.0,train
0.37416573867739417,0,0.9711591996956519,0.0,train
0.9486832980505138,0,5.979594613608429,0.0,train
0.282842712474619,2,0.2456656426076386,1.0,train
0.9486832980505138,0,0.19168886308392286,0.0,train
0.4690415759823429,0,2.467451229052714,0.0,train
0.9486832980505138,0,5.757418090496969,0.0,train
0.9486832980505138,0,2.5788605940667453,0.0,train
0.9486832980505138,0,2.8976205908571337,0.0,train
0.4690415759823429,1,0.9352588609511648,1.0,train
0.37416573867739417,0,2.5205098260990813,0.0,train
0.6708203932499369,2,0.49585595939334776,1.0,train
0.9486832980505138,0,2.649285899395431,0.0,train
0.6708203932499369,0,2.0263918559411076,0.0,train
0.6708203932499369,0,5.219199935702626,0.0,train
0.37416573867739417,0,2.1969061644352603,0.0,train
0.282842712474619,2,0.35508257616618494,1.0,train
0.6708203932499369,0,2.7077565674900734,0.0,train
0.37416573867739417,1,1.7021578183182813,1.0,train
0.9486832980505138,0,1.5861288212784417,0.0,train
0.282842712474619,1,0.8920222976657225,1.0,train
0.6708203932499369,0,0.4072618831920898,0.0,train
0.4690415759823429,0,3.0532338306033155,0.0,train
0.37416573867739417,1,0.31269237443632963,1.0,train
0.282842712474619,3,0.02549123875216414,1.0,train
0.4690415759823429,3,0.6898698566709405,1.0,train
0.37416573867739417,0,1.5533170657139574,0.0,train
0.9486832980505138,0,2.1569125184013727,0.0,train
0.6708203932499369,0,1.8533965829782248,0.0,train
0.9486832980505138,0,3.20147078064345,0.0,train
0.37416573867739417,3,0.023682119556418302,0.0,train
0.4690415759823429,1,2.2556114956902227,1.0,train
0.4690415759823429,1,0.11193285547359405,1.0,train
0.37416573867739417,7,0.11306668143112047,1.0,train
0.282842712474619,3,0.1443588354907677,1.0,train
0.9486832980505138,0,5.3907669433232375,0.0,train
0.6708203932499369,0,5.244981331456677,0.0,train
0.4690415759823429,1,0.2811911075251397,1.0,train
0.6708203932499369,1,3.3287921906644637,0.0,train
0.282842712474619,6,0.22384797371507054,1.0,train
0.4690415759823429,4,0.1698474112072494,1.0,train
0.4690415759823429,6,0.3895529602871344,1.0,train
0.4690415759823429,1,0.47055461773930557,1.0,train
0.9486832980505138,0,3.0591786707242665,0.0,train
0.37416573867739417,2,0.013132306151332887,1.0,train
0.6708203932499369,0,3.676005811818604,0.0,train
0.4690415759823429,0,5.594744818949708,0.0,train
0.37416573867739417,1,0.6181753473500746,1.0,train
0.282842712474619,0,2.54432029574497,0.0,train
0.282842712474619,3,0.5178403178879285,1.0,train
0.282842712474619,4,0.41009336910705385,1.0,train
0.6708203932499369,0,5.526239743214052,0.0,train
0.282842712474619,1,0.7878436413568581,1.0,train
0.9486832980505138,0,5.033333422846676,0.0,train
0.282842712474619,8,0.06985196062696715,1.0,train
0.9486832980505138,0,4.482277154720978,0.0,train
0.6708203932499369,0,2.269770493436016,0.0,train
0.282842712474619,1,0.6892692612996066,1.0,train
0.37416573867739417,0,4.178582325391631,0.0,train
0.282842712474619,0,5.259874576561069,0.0,train
0.6708203932499369,0,3.3808007592538325,0.0,train
0.6708203932499369,1,0.9929476502101913,1.0,train
0.37416573867739417,2,1.4935241026761414,1.0,train
0.37416573867739417,3,0.2120330281516653,1.0,train
0.9486832980505138,0,4.944338266736985,0.0,train
0.6708203932499369,1,0.42226118023005776,1.0,train
0.9486832980505138,0,0.15144587014199473,0.0,train
0.4690415759823429,2,0.05894844900908724,1.0,train
0.282842712474619,7,0.11407157835878601,1.0,train
0.6708203932499369,1,1.1675409858794534,1.0,train
0.37416573867739417,6,0.10518041573595602,1.0,train
0.282842712474619,3,0.11634418322505873,1.0,train
0.282842712474619,1,1.4796416327522612,1.0,train
0.37416573867739417,0,4.274679777348201,0.0,train
0.6708203932499369,0,3.175201371319937,0.0,train
0.282842712474619,5,0.05093790694821525,1.0,train
0.4690415759823429,0,0.08808445626139538,0.0,train
0.9486832980505138,0,5.84210936735113,0.0,train
0.9486832980505138,0,1.6483713075958437,0.0,train
0.37416573867739417,1,0.4531539538784985,1.0,train
0.282842712474619,1,1.2942704847705555,0.0,train
0.4690415759823429,2,1.5314539189629517,0.0,train
0.4690415759823429,0,2.031901414439379,0.0,train
0.6708203932499369,0,2.6698941776926004,0.0,train
0.282842712474619,7,0.1450524268039066,1.0,train
0.282842712474619,4,0.5402072524204694,1.0,train
0.282842712474619,4,0.02119932824966925,1.0,train
0.37416573867739417,2,0.1692292817701707,1.0,train
0.282842712474619,0,1.7606025476533196,0.0,train
0.6708203932499369,0,1.0884914224894988,0.0,train
0.282842712474619,0,4.349864969238789,0.0,train
0.282842712474619,0,3.542055546409704,0.0,train
0.282842712474619,1,0.47956088575226025,1.0,train
0.37416573867739417,0,4.45306541746089,0.0,train
0.6708203932499369,2,1.5129515243559963,1.0,train
0.9486832980505138,0,4.189598202856985,0.0,train
0.9486832980505138,1,0.8876406738368214,0.0,train
0.37416573867739417,2,0.5725192018478552,1.0,train
0.6708203932499369,2,0.21460109082054613,1.0,train
0.37416573867739417,0,0.7583840188376763,0.0,train
0.37416573867739417,1,0.7854624778372015,1.0,train
0.6708203932499369,0,5.0390905142215265,0.0,train
0.9486832980505138,0,0.8578697375968947,0.0,train
0.282842712474619,3,0.03745293176907088,1.0,train
0.282842712474619,2,0.37155886365283014,1.0,train
0.37416573867739417,1,0.07125096347399246,1.0,train
0.6708203932499369,0,1.535789346001785,0.0,train
0.4690415759823429,2,0.01855178056836637,0.0,train
0.37416573867739417,1,1.361126395000422,0.0,train
0.6708203932499369,1,0.6613533805981135,0.0,train
0.282842712474619,2,0.08921951092927263,1.0,train
0.4690415759823429,0,0.6427224448095255,0.0,train
0.6708203932499369,2,0.46355119446612475,1.0,train
0.37416573867739417,2,0.9916894889911434,0.0,train
0.282842712474619,6,0.0007905804324228916,1.0,train
0.6708203932499369,0,5.433532847338549,0.0,train
0.37416573867739417,3,0.9578755797705246,1.0,train
0.6708203932499369,0,1.4689452992358158,0.0,train
0.4690415759823429,2,0.08907799572686222,1.0,train
0.4690415759823429,1,0.45225231155296336,1.0,train
0.6708203932499369,3,0.5282810720443363,1.0,train
0.37416573867739417,0,3.1548814662341322,0.0,train
0.37416573867739417,0,2.9643163290726218,0.0,train
0.4690415759823429,0,0.5391795966990591,0.0,train
0.9486832980505138,0,2.1248967722632575,0.0,train
0.9486832980505138,0,2.873627041627362,0.0,train
0.37416573867739417,0,5.961472173439293,0.0,train
0.4690415759823429,0,2.3475464625212124,0.0,train
0.37416573867739417,6,0.4026339505288458,1.0,train
0.282842712474619,5,0.019612272678391784,1.0,train
0.37416573867739417,3,0.22545633985061264,0.0,train
0.37416573867739417,4,0.11038659907978729,1.0,train
0.282842712474619,2,0.02767266291344719,1.0,train
0.6708203932499369,1,0.36198352863203687,1.0,train
0.6708203932499369,0,5.428020593949172,0.0,train
0.4690415759823429,4,0.13958107788288324,1.0,train
0.37416573867739417,0,4.816896839715403,0.0,train
0.4690415759823429,1,0.33188000033234943,0.0,train
0.9486832980505138,0,5.006228077897852,0.0,train
0.282842712474619,1,2.4689662431938943,1.0,train
0.282842712474619,1,2.0906549257954805,1.0,train
0.282842712474619,6,0.10245586520199645,0.0,train
0.4690415759823429,0,5.213319592918541,0.0,train
0.4690415759823429,6,0.5247239474317352,1.0,train
0.37416573867739417,1,0.24013514004754416,1.0,train
0.6708203932499369,0,1.6745019305759665,0.0,train
0.6708203932499369,0,2.9029213034493395,0.0,train
0.4690415759823429,0,2.4914162319396724,0.0,train
0.282842712474619,0,5.0040525765595,0.0,train
0.6708203932499369,0,1.4104569886459941,0.0,train
0.37416573867739417,2,0.4817317686859239,1.0,train
0.6708203932499369,0,1.1213425157886834,0.0,train
0.37416573867739417,0,4.652824312549607,0.0,train
0.4690415759823429,3,0.04919726051108098,1.0,train
0.9486832980505138,0,1.362525226375096,0.0,train
0.37416573867739417,1,1.111504805358322,1.0,train
0.6708203932499369,1,1.835659754305931,1.0,train
0.9486832980505138,1,1.5992086120205953,1.0,train
0.6708203932499369,0,2.0691604420430205,0.0,train
0.9486832980505138,0,4.203390481142993,0.0,train
0.282842712474619,0,1.7512528600905883,0.0,train
0.282842712474619,4,0.026337764114113187,1.0,train
0.4690415759823429,0,1.8273503783760567,0.0,train
0.4690415759823429,0,3.61587346063728,0.0,train
0.6708203932499369,1,0.2509364758686272,0.0,train
0.37416573867739417,0,4.336287253266489,0.0,train
0.9486832980505138,0,3.0573242307529593,0.0,train
0.9486832980505138,0,5.165959315832026,0.0,train
0.282842712474619,0,0.7612581957982645,0.0,train
0.9486832980505138,0,3.371179008275768,0.0,train
0.9486832980505138,0,2.649190636170612,0.0,train
0.37416573867739417,2,0.3156700152131355,1.0,train
0.9486832980505138,0,4.544193557584901,0.0,train
0.6708203932499369,0,1.7435571294324632,0.0,train
0.282842712474619,0,2.8501718189257876,0.0,train
0.6708203932499369,0,3.4849309997999613,0.0,train
0.6708203932499369,1,0.5977151604167322,1.0,train
0.37416573867739417,0,1.6322055413667682,0.0,train
0.4690415759823429,0,3.708801831184967,0.0,train
0.6708203932499369,0,1.294893747380104,0.0,train
0.6708203932499369,0,0.3793519575513449,0.0,train
0.9486832980505138,0,1.4553891336279108,0.0,train
0.6708203932499369,0,2.2883024579640816,0.0,train
0.4690415759823429,2,0.050979595909122336,1.0,train
0.6708203932499369,0,4.480523770965481,0.0,train
0.9486832980505138,0,5.268146560278948,0.0,train
