theta,m,t,delta,set
0.9888318608883254,11,0.020069139519109176,1.0,train
0.9999962731732165,4,0.23460611232273532,1.0,train
0.999205008097797,7,0.03715659554721399,1.0,train
0.999205008097797,60,0.05858814756819073,1.0,train
0.9888318608883254,22,0.02544912563013186,1.0,train
0.1931001671441963,0,4.612289234576217,0.0,train
0.999205008097797,0,4.043675209313085,0.0,train
0.9999962731732165,28,0.02646407678410363,1.0,train
0.1931001671441963,0,0.6301826641181452,0.0,train
0.999205008097797,4,0.1736836384780341,1.0,train
0.999205008097797,546,0.008781768396562974,1.0,train
0.1931001671441963,0,5.243563510330692,0.0,train
0.999205008097797,1083,0.00012889515665656754,1.0,train
0.999205008097797,72,0.0029789229762766656,0.0,train
0.9999962731732165,0,2.344943288866002,0.0,train
0.999205008097797,547,0.003181892093160888,1.0,train
0.1931001671441963,0,0.3885374023453301,0.0,train
0.8481306753421819,4,0.198558900840555,1.0,train
0.999205008097797,12,0.051829135122901514,1.0,train
0.9999962731732165,3722,2.077559292933468e-05,1.0,train
0.9999962731732165,0,4.798305181209069,0.0,train
0.9999962731732165,146,0.009017232747532418,1.0,train
0.1931001671441963,0,0.4996816449615731,0.0,train
0.8481306753421819,4,0.21078919611667127,1.0,train
0.999205008097797,28,0.03715926034326239,1.0,train
0.1931001671441963,0,2.916298670667331,0.0,train
0.999205008097797,267,0.0024751249441666372,1.0,train
0.8481306753421819,1,2.0274345723381373,1.0,train
0.1931001671441963,0,4.378718351547849,0.0,train
0.9888318608883254,55,0.022842391742477746,1.0,train
0.999205008097797,54,0.0010403164721487046,1.0,train
0.1931001671441963,0,0.5762290715631433,0.0,train
0.9999962731732165,9,0.39503310415695386,1.0,train
0.8481306753421819,3,0.14381812870434152,1.0,train
0.9999962731732165,5,0.1463188498769684,1.0,train
0.9999962731732165,84,0.005750878227287517,1.0,train
0.1931001671441963,0,0.9318211431291215,0.0,train
0.1931001671441963,0,5.464137530384499,0.0,train
0.1931001671441963,0,2.701378349644587,0.0,train
0.9888318608883254,4,0.1047737583862711,1.0,train
0.9999962731732165,23,0.026802050989274566,1.0,train
0.1931001671441963,0,0.6867918203956618,0.0,train
0.9999962731732165,0,4.8614205598927605,0.0,train
0.999205008097797,98,0.00815542873120906,1.0,train
0.9888318608883254,36,0.009241510717560996,1.0,train
0.9999962731732165,0,1.0235092183493197,0.0,train
0.9888318608883254,9,0.04262033139252432,1.0,train
0.9999962731732165,9494,5.484148250519753e-07,1.0,train
0.8481306753421819,2,1.1638473500751014,1.0,train
0.9888318608883254,4,0.3864632448185362,1.0,train
0.999205008097797,4,0.02134025592031919,1.0,train
0.1931001671441963,0,4.914815225863249,0.0,train
0.8481306753421819,2,0.07184844323534913,1.0,train
0.8481306753421819,0,0.4091811054134449,0.0,train
0.8481306753421819,0,3.1916830923956026,0.0,train
0.999205008097797,518,0.0019369781792083285,1.0,train
0.999205008097797,3510,0.00029594247288644435,1.0,train
0.9999962731732165,0,3.335289720303284,0.0,train
0.9999962731732165,383,0.00048076752675396683,0.0,train
0.1931001671441963,0,1.0598308563295293,0.0,train
0.8481306753421819,1,0.6444981825841755,1.0,train
0.1931001671441963,0,2.416168673163497,0.0,train
0.8481306753421819,0,5.721831686414905,0.0,train
0.1931001671441963,0,5.722869294552032,0.0,train
0.9999962731732165,4,0.17447754317487313,1.0,train
0.999205008097797,3,0.0951176790772832,1.0,train
0.9999962731732165,205,0.00016442286818372481,1.0,train
0.999205008097797,2148,0.0002643143321514136,1.0,train
0.9999962731732165,6,0.21591800992312057,1.0,train
0.8481306753421819,2,0.8587404606481212,1.0,train
0.1931001671441963,0,2.359709532883595,0.0,train
0.8481306753421819,0,5.789125791781538,0.0,train
0.8481306753421819,1,0.1892763214460611,1.0,train
0.9999962731732165,2,0.06264127088142996,1.0,train
0.999205008097797,256,0.006407028576990661,1.0,train
0.9999962731732165,201,0.006665242485231852,1.0,train
0.9999962731732165,15,0.17747698614449833,1.0,train
0.9888318608883254,12,0.03526703309165534,1.0,train
0.1931001671441963,0,5.440852650092586,0.0,train
0.999205008097797,15,0.04203543308044205,1.0,train
0.1931001671441963,0,2.87926554515119,0.0,train
0.9999962731732165,627,0.00021245181421476386,1.0,train
0.9888318608883254,18,0.17269911918723455,1.0,train
0.999205008097797,2,0.15555050493930148,1.0,train
0.9888318608883254,126,0.001708741260021312,1.0,train
0.9999962731732165,397,0.00042913994239041943,1.0,train
0.1931001671441963,0,2.5753871437113194,0.0,train
0.9888318608883254,5,0.569118580155383,1.0,train
0.1931001671441963,0,3.1745933837360782,0.0,train
0.8481306753421819,3,0.1232912911445225,1.0,train
0.9999962731732165,9752,7.081763512816998e-05,1.0,train
0.8481306753421819,0,3.480862186851602,0.0,train
0.999205008097797,367,0.0004033379664609636,1.0,train
0.9999962731732165,5477,2.5489300553663344e-05,1.0,train
0.9888318608883254,15,0.06260923330130953,1.0,train
0.1931001671441963,0,4.36469489462996,0.0,train
0.1931001671441963,0,0.5216474378772249,0.0,train
0.9888318608883254,15,0.0785642483580768,1.0,train
0.1931001671441963,0,5.071132193248624,0.0,train
0.9888318608883254,6,0.10969120231053683,1.0,train
0.8481306753421819,0,3.536075444155035,0.0,train
0.1931001671441963,0,4.629708038519332,0.0,train
0.8481306753421819,0,4.408646890450228,0.0,train
0.1931001671441963,0,3.449273397849235,0.0,train
0.9888318608883254,0,2.5792105284284164,0.0,train
0.1931001671441963,1,0.19092397243212744,1.0,train
0.9888318608883254,6,0.2551145478307493,1.0,train
0.8481306753421819,2,0.32608713785594406,1.0,train
0.8481306753421819,0,5.884714705023719,0.0,train
0.999205008097797,0,3.038326530670467,0.0,train
0.9888318608883254,8,0.04887347143475445,1.0,train
0.1931001671441963,0,4.758322934934256,0.0,train
0.9999962731732165,179,0.00019287837173848687,1.0,train
0.1931001671441963,0,1.589237288648507,0.0,train
0.9888318608883254,50,0.003178993117450016,1.0,train
0.9999962731732165,1216,0.0009501901907118978,1.0,train
0.1931001671441963,0,0.1585793934254618,0.0,train
0.9999962731732165,1,3.403354041130039,1.0,train
0.9999962731732165,33,0.04959145179242135,1.0,train
0.1931001671441963,0,1.274276284701258,0.0,train
0.9888318608883254,0,0.4973362722191188,0.0,train
0.9999962731732165,1849,7.851677067198707e-05,1.0,train
0.999205008097797,56,0.015500910725767912,1.0,train
0.9999962731732165,1164,0.0007496388781652206,1.0,train
0.9888318608883254,2,0.022426823459035072,1.0,train
0.1931001671441963,0,0.6400142918571898,0.0,train
0.8481306753421819,0,1.066861079821507,0.0,train
0.1931001671441963,0,3.8185023192677985,0.0,train
0.9888318608883254,5,0.32989490449693476,1.0,train
0.1931001671441963,0,1.7842279150955431,0.0,train
0.9888318608883254,6,0.134310351116986,1.0,train
0.9888318608883254,7,0.08338047265011195,1.0,train
0.9888318608883254,105,0.007560005418257862,1.0,train
0.9999962731732165,0,5.842860481903672,0.0,train
0.9999962731732165,339,0.003073232117035431,1.0,train
0.9999962731732165,693,0.0007841266544732683,1.0,train
0.9888318608883254,2,0.17336494509123454,1.0,train
0.9888318608883254,1,0.38385469540283135,1.0,train
0.8481306753421819,3,0.1529012707285044,1.0,train
0.999205008097797,360,8.378670362783391e-05,1.0,train
0.9888318608883254,1,0.0019113931757160562,1.0,train
0.8481306753421819,3,0.07600215081048578,1.0,train
0.9888318608883254,0,4.245984256775523,0.0,train
0.8481306753421819,0,2.927273709449913,0.0,train
0.9999962731732165,4160,0.00037731734878319065,1.0,train
0.999205008097797,4,0.9702457054088708,1.0,train
0.999205008097797,3621,4.814891868178734e-05,1.0,train
0.8481306753421819,0,1.4033535391545484,0.0,train
0.9888318608883254,2,0.34277204720833254,1.0,train
0.999205008097797,56,0.007053614476009024,1.0,train
0.1931001671441963,1,1.04193102589998,1.0,train
0.9999962731732165,0,4.500434069767078,0.0,train
0.999205008097797,1306,0.0014105732328095787,1.0,train
0.8481306753421819,0,5.941924865927428,0.0,train
0.9999962731732165,87,0.010302558077053287,1.0,train
0.1931001671441963,0,5.019164930221042,0.0,train
0.9999962731732165,412,0.0023446040202035447,1.0,train
0.8481306753421819,6,0.16850052033955484,1.0,train
0.999205008097797,1029,0.0006197309654910897,1.0,train
0.8481306753421819,0,2.8916220865173,0.0,train
0.8481306753421819,0,2.4793473753761663,0.0,train
0.8481306753421819,4,0.02876978546909106,1.0,train
0.999205008097797,106,0.011961373785833288,1.0,train
0.8481306753421819,0,0.12533953509391882,0.0,train
0.9999962731732165,7,0.1120900838875067,1.0,train
0.1931001671441963,1,0.8103622018842572,1.0,train
