theta,m,t,delta,set
0.10818510677891968,0,5.303887180120562,0.0,train
5.0710678118654755,5,0.17947397449154393,1.0,train
2.264014327112209,4,0.23308341666340737,1.0,train
3.3452248382484875,2,0.04986788575631188,1.0,train
3.3452248382484875,2,0.32470910065004177,0.0,train
0.9814239699997196,1,0.3388217660172026,0.0,train
3.3452248382484875,10,0.02841268132283838,1.0,train
3.3452248382484875,3,0.15335028965696293,1.0,train
0.9814239699997196,4,0.48346270444680184,1.0,train
0.9814239699997196,0,4.258481345754841,0.0,train
3.3452248382484875,4,0.14768382642489702,1.0,train
5.0710678118654755,3,0.16674946619527597,1.0,train
0.10818510677891968,0,0.41731501437671925,0.0,train
3.3452248382484875,4,0.17229006800905292,1.0,train
3.3452248382484875,1,0.4160130797599919,1.0,train
2.264014327112209,1,3.4412801582285972,0.0,train
0.10818510677891968,0,5.542467433718151,0.0,train
5.0710678118654755,1,0.3344814456249384,1.0,train
3.3452248382484875,6,0.1954600101086051,1.0,train
3.3452248382484875,4,0.9651668769166436,1.0,train
3.3452248382484875,7,0.08279309422118775,1.0,train
0.9814239699997196,3,1.11338413521878,1.0,train
3.3452248382484875,2,0.04075576734596831,1.0,train
3.3452248382484875,11,0.050465381815531174,1.0,train
0.10818510677891968,1,0.24893440754766158,1.0,train
3.3452248382484875,4,0.005088275435617364,1.0,train
3.3452248382484875,3,0.26082679288572974,1.0,train
3.3452248382484875,1,0.4075055169014796,1.0,train
5.0710678118654755,8,0.10748938503042042,1.0,train
2.264014327112209,0,2.928454487762525,0.0,train
3.3452248382484875,9,0.05217167725111161,1.0,train
3.3452248382484875,1,0.35799054168989697,1.0,train
3.3452248382484875,0,1.4777972372010715,0.0,train
0.9814239699997196,0,0.181225778054932,0.0,train
2.264014327112209,1,0.24510284073767521,1.0,train
0.9814239699997196,0,0.7717853895352496,0.0,train
0.10818510677891968,0,5.640105844014203,0.0,train
0.10818510677891968,0,4.305318953143917,0.0,train
5.0710678118654755,6,0.08527016157522188,1.0,train
3.3452248382484875,0,1.1452062941830292,0.0,train
0.10818510677891968,0,0.647787958007169,0.0,train
0.9814239699997196,0,3.2918305330002964,0.0,train
0.10818510677891968,0,0.010470794840270248,0.0,train
2.264014327112209,1,1.776400971226579,1.0,train
0.9814239699997196,2,0.27848059664752983,1.0,train
2.264014327112209,3,0.1397661608509187,1.0,train
2.264014327112209,1,1.1552985772178774,1.0,train
0.9814239699997196,1,0.159829996261557,1.0,train
0.9814239699997196,0,5.803498419838264,0.0,train
5.0710678118654755,1,1.5730015695949155,1.0,train
0.9814239699997196,1,0.7947867327381588,1.0,train
2.264014327112209,2,1.2899133848398086,1.0,train
3.3452248382484875,14,0.08998048250862924,1.0,train
0.9814239699997196,1,0.15659459967079448,1.0,train
0.9814239699997196,1,3.515932250239474,1.0,train
