theta,m,t,delta,set
0.5978370007556204,0,0.44497057565895326,0.0,train
0.43078291609245417,1,0.6788388169033505,1.0,train
0.28768207245178085,1,0.53541166294758,0.0,train
0.05129329438755048,0,1.9723534850859334,0.0,train
0.43078291609245417,1,1.2619641673790907,1.0,train
0.43078291609245417,1,1.050812821961743,1.0,train
0.16251892949777494,0,5.700987790374273,0.0,train
0.43078291609245417,0,3.7860302184007866,0.0,train
0.28768207245178085,0,3.168305868715176,0.0,train
0.5978370007556204,0,1.5210363028891292,0.0,train
0.43078291609245417,1,1.6121897810689725,1.0,train
0.5978370007556204,2,0.23044096560417032,1.0,train
0.43078291609245417,0,2.749356880723491,0.0,train
0.16251892949777494,0,0.24629817583459013,0.0,train
0.43078291609245417,1,0.24736130449486207,1.0,train
0.5978370007556204,3,0.09475988471810985,1.0,train
0.28768207245178085,0,3.9105899582784853,0.0,train
0.5978370007556204,0,4.2012098728934255,0.0,train
0.43078291609245417,0,3.184730950423175,0.0,train
0.28768207245178085,0,1.7891232668214017,0.0,train
0.5978370007556204,0,0.4229313737943925,0.0,train
0.5978370007556204,9,0.0061009016403369126,1.0,train
0.16251892949777494,0,2.4392925304005724,0.0,train
0.16251892949777494,0,5.327262861222902,0.0,train
0.28768207245178085,0,1.4190874784708687,0.0,train
0.05129329438755048,0,2.766064429156441,0.0,train
0.28768207245178085,0,0.1730744555732544,0.0,train
0.43078291609245417,3,0.03520476343102445,1.0,train
0.16251892949777494,0,2.2791112183771607,0.0,train
0.5978370007556204,0,2.440531097608816,0.0,train
0.28768207245178085,3,0.08651476304372527,1.0,train
0.16251892949777494,0,0.5082426098890025,0.0,train
0.28768207245178085,0,3.4058236035475913,0.0,train
0.28768207245178085,0,5.8574152128491574,0.0,train
0.28768207245178085,2,0.36293089833757675,1.0,train
0.5978370007556204,3,0.309901602501561,1.0,train
0.43078291609245417,3,0.051878289457673005,1.0,train
0.5978370007556204,0,3.9815727472829456,0.0,train
0.16251892949777494,0,1.920068283597877,0.0,train
0.05129329438755048,0,1.8338099205609832,0.0,train
