theta,m,t,delta,set
0.19377422517014498,0,4.105164322096526,0.0,train
0.1339745962155613,0,1.161225369268873,0.0,train
0.1339745962155613,0,2.42822100455541,0.0,train
0.025320565519103555,0,2.699097303668868,0.0,train
0.1339745962155613,0,0.7824534947475521,0.0,train
0.2583801512904337,0,2.7507362661218338,0.0,train
0.1339745962155613,0,2.7793376590641383,0.0,train
0.025320565519103555,0,1.0534265706892494,0.0,train
0.07804555427071125,0,1.6929894069853153,0.0,train
0.1339745962155613,1,3.0889147185935224,0.0,train
0.025320565519103555,1,2.4294199655250694,1.0,train
0.2583801512904337,0,3.315372160439913,0.0,train
0.2583801512904337,3,0.04719978673977025,1.0,train
0.1339745962155613,0,1.2661440115756437,0.0,train
0.2583801512904337,0,5.85781346403584,0.0,train
0.1339745962155613,0,0.7540567848380473,0.0,train
0.19377422517014498,4,1.0011099057928685,1.0,train
0.19377422517014498,2,0.2563273467662025,1.0,train
0.2583801512904337,0,1.2772664263973093,0.0,train
0.2583801512904337,1,1.5828696556455368,1.0,train
0.19377422517014498,0,2.0551272272768895,0.0,train
0.025320565519103555,0,4.525369112579506,0.0,train
0.025320565519103555,0,5.0518124165910585,0.0,train
0.19377422517014498,1,0.2778314472526444,1.0,train
0.07804555427071125,1,0.009648791901059146,1.0,train
0.025320565519103555,0,2.5755274048269596,0.0,train
0.19377422517014498,0,1.1591603483375414,0.0,train
0.025320565519103555,0,4.541191853900882,0.0,train
0.1339745962155613,0,1.5630742043889791,0.0,train
0.1339745962155613,0,5.511305165726321,0.0,train
0.025320565519103555,0,3.7615719148701974,0.0,train
0.1339745962155613,0,5.149424392360466,0.0,train
0.1339745962155613,0,1.5726913125404123,0.0,train
0.07804555427071125,0,1.585999349778424,0.0,train
0.19377422517014498,1,1.5187163134458876,1.0,train
0.19377422517014498,0,1.628148637543498,0.0,train
0.19377422517014498,8,0.038507783927771475,1.0,train
0.1339745962155613,0,0.4746960072943043,0.0,train
0.1339745962155613,0,1.2711646427152112,0.0,train
0.1339745962155613,0,4.923045268487079,0.0,train
0.2583801512904337,4,0.14279734466234903,1.0,train
0.07804555427071125,0,5.228534036894439,0.0,train
0.2583801512904337,0,3.3685750809675383,0.0,train
0.2583801512904337,0,5.978376644268602,0.0,train
0.2583801512904337,0,0.9983966059992615,0.0,train
0.025320565519103555,1,0.3120650044953785,1.0,train
0.07804555427071125,0,0.3884487846491922,0.0,train
0.07804555427071125,2,0.2352089672204286,1.0,train
0.1339745962155613,0,2.2276191220795125,0.0,train
0.025320565519103555,0,2.4681350421501618,0.0,train
0.2583801512904337,0,0.6592615993718174,0.0,train
0.2583801512904337,1,0.3543041076517902,1.0,train
0.025320565519103555,0,0.07520686309480817,0.0,train
0.2583801512904337,0,4.643909052976054,0.0,train
0.2583801512904337,2,0.4308660876798879,1.0,train
0.1339745962155613,3,0.18607898202982834,1.0,train
0.07804555427071125,0,1.4712930717290063,0.0,train
0.1339745962155613,1,0.9355843420925376,0.0,train
0.025320565519103555,0,0.10758381270539608,0.0,train
0.2583801512904337,6,0.1777618039946137,1.0,train
0.19377422517014498,0,5.717342546255994,0.0,train
0.07804555427071125,0,3.27206494507194,0.0,train
0.07804555427071125,1,0.32917019268167874,1.0,train
0.07804555427071125,0,2.927952442803713,0.0,train
0.2583801512904337,0,1.2736828181708821,0.0,train
0.1339745962155613,0,3.462062070621236,0.0,train
0.19377422517014498,0,4.558281151632763,0.0,train
0.19377422517014498,0,2.2900599474455965,0.0,train
0.07804555427071125,0,5.954228109353991,0.0,train
0.07804555427071125,1,1.779780903294917,1.0,train
0.2583801512904337,0,2.1891427286896974,0.0,train
0.07804555427071125,0,1.4216752295415802,0.0,train
0.2583801512904337,0,2.844618409540397,0.0,train
0.2583801512904337,0,3.3467932320910903,0.0,train
0.025320565519103555,0,5.638025704089542,0.0,train
0.2583801512904337,0,5.225316744428945,0.0,train
0.19377422517014498,0,3.4876031868789137,0.0,train
0.19377422517014498,1,0.19556580166161336,1.0,train
0.1339745962155613,0,0.6679702938827836,0.0,train
0.19377422517014498,0,0.9478482821547158,0.0,train
0.1339745962155613,0,0.03663347100598546,0.0,train
0.025320565519103555,0,2.0221648518559094,0.0,train
0.19377422517014498,0,4.630342768755659,0.0,train
0.025320565519103555,0,4.5142614211400325,0.0,train
0.2583801512904337,2,0.16524387427762752,1.0,train
0.025320565519103555,0,2.102762902263528,0.0,train
0.025320565519103555,0,3.735619906075245,0.0,train
0.1339745962155613,0,3.1264069502352445,0.0,train
0.19377422517014498,0,1.2782802278465313,0.0,train
0.1339745962155613,0,3.893063787192813,0.0,train
0.07804555427071125,0,5.077129487637823,0.0,train
0.025320565519103555,0,5.074650793549281,0.0,train
0.19377422517014498,0,2.063236223815809,0.0,train
0.19377422517014498,0,5.926194548273452,0.0,train
0.2583801512904337,0,2.826958715930251,0.0,train
0.2583801512904337,2,0.7653603254187634,1.0,train
0.19377422517014498,0,3.141947368747142,0.0,train
0.1339745962155613,0,1.3145354872349244,0.0,train
0.1339745962155613,1,0.4104079714999982,0.0,train
0.025320565519103555,0,5.013222143440753,0.0,train
0.025320565519103555,0,5.025379172910703,0.0,train
0.1339745962155613,0,0.41287026582768815,0.0,train
0.2583801512904337,2,0.06728189889027937,1.0,train
0.1339745962155613,2,0.13712833218982728,1.0,train
0.2583801512904337,5,0.26526034838345136,1.0,train
0.2583801512904337,0,2.169028050111229,0.0,train
0.2583801512904337,2,1.5518054663119492,1.0,train
0.1339745962155613,0,2.188639962774343,0.0,train
0.2583801512904337,2,0.22242621377554206,1.0,train
0.19377422517014498,0,0.899603915568066,0.0,train
0.2583801512904337,0,3.16712674436648,0.0,train
0.07804555427071125,0,3.886736850426789,0.0,train
0.19377422517014498,0,4.970626356028889,0.0,train
0.07804555427071125,0,3.09521469540573,0.0,train
0.025320565519103555,0,3.070768724137715,0.0,train
0.1339745962155613,0,2.7355085979305946,0.0,train
0.025320565519103555,0,0.6298718584963452,0.0,train
0.19377422517014498,0,2.542299400622271,0.0,train
0.025320565519103555,0,2.742689635839811,0.0,train
0.19377422517014498,0,0.9249657565158464,0.0,train
0.07804555427071125,0,1.7905990916077252,0.0,train
0.1339745962155613,0,0.2522039762529271,0.0,train
0.025320565519103555,0,4.321067676224439,0.0,train
0.19377422517014498,0,2.664929543954635,0.0,train
0.2583801512904337,2,0.5186840879738422,1.0,train
0.1339745962155613,0,4.770187124125621,0.0,train
0.19377422517014498,1,1.0088591411287955,1.0,train
0.19377422517014498,1,0.4250760350604841,1.0,train
0.2583801512904337,0,4.067448903568536,0.0,train
0.2583801512904337,0,1.7411775632189956,0.0,train
0.07804555427071125,0,2.441406463044662,0.0,train
0.1339745962155613,0,0.8592032465330783,0.0,train
0.19377422517014498,0,2.046484957890881,0.0,train
0.2583801512904337,7,0.6817156412308045,1.0,train
0.025320565519103555,0,3.537097837693511,0.0,train
0.1339745962155613,0,0.775303895350917,0.0,train
0.1339745962155613,0,5.269582635087751,0.0,train
0.1339745962155613,6,0.032840100999698585,1.0,train
0.2583801512904337,4,0.11988955155872295,1.0,train
0.2583801512904337,0,3.8379064961048908,0.0,train
0.025320565519103555,0,3.100769640767177,0.0,train
0.2583801512904337,0,4.203786424480908,0.0,train
0.07804555427071125,0,1.8509549470576379,0.0,train
0.19377422517014498,0,0.5628008295093858,0.0,train
0.2583801512904337,7,0.0683925274133058,1.0,train
0.025320565519103555,0,2.4492645848113312,0.0,train
0.1339745962155613,0,5.295340908803693,0.0,train
0.07804555427071125,1,0.4580682690127864,1.0,train
0.025320565519103555,0,5.025655467431546,0.0,train
0.19377422517014498,0,4.879451033982553,0.0,train
0.1339745962155613,0,5.246387310000185,0.0,train
0.19377422517014498,0,2.4409250414650954,0.0,train
0.07804555427071125,1,0.07086607011970814,0.0,train
0.1339745962155613,0,1.0597514945496602,0.0,train
0.07804555427071125,0,4.691500012628515,0.0,train
0.07804555427071125,0,1.0636689840039946,0.0,train
0.2583801512904337,0,4.468041908268056,0.0,train
0.1339745962155613,2,0.08920322161106815,1.0,train
0.07804555427071125,0,1.3447446132147143,0.0,train
0.1339745962155613,0,4.52448628375324,0.0,train
0.19377422517014498,0,3.9862153996369103,0.0,train
0.07804555427071125,1,1.1270424592108395,1.0,train
0.07804555427071125,0,1.7422610316695588,0.0,train
