,index,set
0,26640,train
1,6126,train
2,16896,train
3,4667,train
4,20494,train
5,16849,train
6,6666,train
7,18449,train
8,13252,train
9,25273,train
10,3177,train
11,7632,train
12,13419,train
13,29112,train
14,1237,train
15,22519,train
16,13044,train
17,18694,train
18,21110,train
19,14059,train
20,4532,train
21,20007,train
22,3471,train
23,24101,train
24,29908,train
25,26225,train
26,3620,train
27,901,train
28,28208,train
29,22319,train
30,9108,train
31,18344,train
32,16815,train
33,2964,train
34,28082,train
35,6358,train
36,17273,train
37,8334,train
38,16815,train
39,19590,train
40,8210,train
41,8554,train
42,22794,train
43,12100,train
44,22315,train
45,12966,train
46,24130,train
47,2058,train
48,15475,train
49,21437,train
50,2291,train
51,13239,train
52,4342,train
53,7951,train
54,3969,train
55,15091,train
56,4687,train
57,11789,train
58,3659,train
59,14627,train
60,13480,train
61,9979,train
62,28532,train
63,11182,train
64,27939,train
65,27773,train
66,3120,train
67,13384,train
68,25048,train
69,11769,train
70,15921,train
71,1718,train
72,25279,train
73,15970,train
74,3621,train
75,19051,train
76,18130,train
77,10900,train
78,3215,train
79,3167,train
80,16365,train
81,27895,train
82,20139,train
83,29662,train
84,10321,train
85,1554,train
86,29353,train
87,7470,train
88,21818,train
89,16737,train
90,41,train
91,16690,train
92,1226,train
93,8539,train
94,22911,train
95,1414,train
96,27626,train
97,5301,train
98,8162,train
99,17211,train
100,10758,train
101,25430,train
102,2779,train
103,28065,train
104,26145,train
105,17910,train
106,18423,train
107,2875,train
108,4686,train
109,20218,train
110,25475,train
111,21354,train
112,5053,train
113,27797,train
114,24181,train
115,7446,train
116,1504,train
117,19082,train
118,19646,train
119,21575,train
120,873,train
121,29899,train
122,12993,train
123,22623,train
124,8490,train
125,19532,train
126,20713,train
127,10570,train
128,26680,train
129,12623,train
130,2208,train
131,6611,train
132,9349,train
133,8120,train
134,7627,train
135,12385,train
136,6262,train
137,15688,train
138,9189,train
139,17151,train
140,8877,train
141,25156,train
142,4271,train
143,24905,train
144,29988,train
145,17334,train
146,25192,train
147,5579,train
148,5614,train
149,17304,train
150,23946,train
151,16909,train
152,26610,train
153,1153,train
154,372,train
155,2751,train
156,14968,train
157,1837,train
158,11233,train
159,16819,train
160,17464,train
161,15765,train
162,14772,train
163,26096,train
164,21400,train
165,29422,train
166,27281,train
167,21701,train
168,11669,train
169,28817,train
170,15802,train
171,4255,train
172,25745,train
173,9490,train
174,22515,train
175,12581,train
176,29005,train
177,14414,train
178,7328,train
179,11950,train
180,3302,train
181,24335,train
182,20383,train
183,10711,train
184,18384,train
185,24082,train
186,24987,train
187,7695,train
188,2423,train
189,23277,train
190,22745,train
191,4893,train
192,9484,train
193,17449,train
194,18186,train
195,8557,train
196,3195,train
197,6700,train
198,21368,train
199,12905,train
200,22504,train
201,13940,train
202,19902,train
203,19398,train
204,19120,train
205,29276,train
206,9201,train
207,27080,train
208,28499,train
209,1150,train
210,27308,train
211,6309,train
212,4422,train
213,5162,train
214,19703,train
215,2997,train
216,19871,train
217,8762,train
218,22970,train
219,16203,train
220,1847,train
221,21002,train
222,4781,train
223,16329,train
224,10027,train
225,28091,train
226,11641,train
227,6154,train
228,14787,train
229,26852,train
230,15036,train
231,13505,train
232,26875,train
233,10856,train
234,7612,train
235,2298,train
236,12536,train
237,15189,train
238,29334,train
239,28792,train
240,1058,train
241,4234,train
242,26419,train
243,6871,train
244,21787,train
245,1430,train
246,2120,train
247,27782,train
248,24019,train
249,23700,train
250,9465,train
251,24426,train
252,12264,train
253,9518,train
254,11695,train
255,27810,train
256,16911,train
257,26150,train
258,12108,train
259,7028,train
260,17880,train
261,25073,train
262,1324,train
263,14701,train
264,25627,train
265,2041,train
266,6611,train
267,27145,train
268,21207,train
269,20881,train
270,11061,train
271,21971,train
272,27342,train
273,20241,train
274,17003,train
275,28356,train
276,27998,train
277,18744,train
278,1074,train
279,2806,train
280,29806,train
281,7973,train
282,17163,train
283,18562,train
284,10983,train
285,340,train
286,6699,train
287,23378,train
288,14,train
289,5004,train
290,14752,train
291,19952,train
292,9791,train
293,24048,train
294,7374,train
295,3251,train
296,28976,train
297,28376,train
298,22424,train
299,27083,train
300,20590,train
301,3129,train
302,2084,train
303,6641,train
304,7185,train
305,15626,train
