theta,m,t,delta,set
0.44999999999999996,0,0.6799215367660196,0.0,train
0.04999999999999993,0,5.838890349223981,0.0,train
0.35,0,4.798197604410364,0.0,train
0.25,0,3.1822800500807036,0.0,train
0.44999999999999996,3,0.20073640775282567,1.0,train
0.35,0,3.8482237281205673,0.0,train
0.15000000000000002,0,3.5050824434347483,0.0,train
0.44999999999999996,0,1.3471406783920203,0.0,train
0.35,10,0.08024594739951214,1.0,train
0.35,0,5.650107083422508,0.0,train
0.25,0,0.9624525027134907,0.0,train
0.04999999999999993,0,4.19950094567436,0.0,train
0.04999999999999993,0,3.1028454003495147,0.0,train
0.15000000000000002,0,1.8883549788209397,0.0,train
0.35,2,1.1433954206457109,1.0,train
0.35,0,0.36875946303570406,0.0,train
0.04999999999999993,0,5.005802229886364,0.0,train
0.15000000000000002,0,4.838977121373217,0.0,train
0.25,1,0.850975835892019,0.0,train
0.25,2,0.2890838683748578,1.0,train
0.04999999999999993,0,4.008604569041674,0.0,train
0.44999999999999996,0,1.4860421335836596,0.0,train
0.04999999999999993,0,1.4692835997346942,0.0,train
0.44999999999999996,2,1.3546877990796558,1.0,train
0.04999999999999993,0,4.423957536029205,0.0,train
0.25,0,2.0762506705790607,0.0,train
0.35,3,0.0694776664439548,1.0,train
0.04999999999999993,0,1.1831748711740662,0.0,train
0.04999999999999993,0,4.701226342385689,0.0,train
0.04999999999999993,0,1.4951653126307156,0.0,train
0.35,0,1.8000857311542127,0.0,train
0.35,1,1.5849149072036997,1.0,train
0.15000000000000002,0,5.56880207624477,0.0,train
0.04999999999999993,0,0.5690326004060586,0.0,train
0.44999999999999996,2,0.23704878570162302,0.0,train
0.44999999999999996,0,2.9789757654910165,0.0,train
0.35,0,5.471453176023163,0.0,train
0.15000000000000002,0,3.6481815405777267,0.0,train
0.35,0,0.10218565846422112,0.0,train
0.25,0,3.367355093088225,0.0,train
0.35,8,0.002140745593398202,1.0,train
0.35,0,2.319465543989047,0.0,train
0.25,0,5.550800233230208,0.0,train
0.04999999999999993,0,5.799470833443376,0.0,train
0.15000000000000002,0,4.681312462753964,0.0,train
0.35,0,0.6984954599938313,0.0,train
0.25,0,5.6500291970715715,0.0,train
0.15000000000000002,0,5.9267069967012445,0.0,train
0.44999999999999996,2,1.0749362546620727,1.0,train
0.44999999999999996,0,2.340179676965062,0.0,train
0.35,0,5.208414833729376,0.0,train
0.04999999999999993,2,0.16235297808089869,1.0,train
0.35,0,1.147684553815861,0.0,train
0.35,1,1.4875208686584636,1.0,train
0.25,0,5.624650891853484,0.0,train
0.04999999999999993,0,1.6189708151018773,0.0,train
0.15000000000000002,1,0.27369107439441287,1.0,train
0.35,0,4.501896408334579,0.0,train
0.15000000000000002,1,1.0891141915997158,1.0,train
0.44999999999999996,0,1.5695123118466159,0.0,train
0.15000000000000002,0,2.843507605931361,0.0,train
0.44999999999999996,103,0.012066755910502736,1.0,train
0.35,0,1.9628338318333172,0.0,train
0.15000000000000002,1,0.46841849271362745,0.0,train
0.15000000000000002,0,2.292504935793967,0.0,train
0.15000000000000002,0,4.268326519964798,0.0,train
0.35,0,2.182321118213041,0.0,train
0.04999999999999993,0,5.164315119787666,0.0,train
0.35,0,3.3649996806497846,0.0,train
0.15000000000000002,0,2.559567600941398,0.0,train
0.35,1,0.5929173392411875,1.0,train
0.44999999999999996,0,4.777321093576005,0.0,train
0.44999999999999996,0,2.870969482288964,0.0,train
0.35,0,2.677605740150877,0.0,train
0.04999999999999993,0,1.6859511158744394,0.0,train
0.44999999999999996,1,2.023527575657515,0.0,train
0.44999999999999996,2,0.22419416424845326,1.0,train
0.25,0,5.348395902823392,0.0,train
0.44999999999999996,0,0.4224349693043883,0.0,train
0.44999999999999996,0,4.85312142866503,0.0,train
0.35,2,0.5761578322775953,0.0,train
0.25,7,0.1484399515968624,0.0,train
0.04999999999999993,0,3.6645408898986487,0.0,train
0.04999999999999993,0,4.494425691434132,0.0,train
0.15000000000000002,0,3.0154477061540046,0.0,train
0.04999999999999993,0,3.3986933197913007,0.0,train
0.35,0,5.19523508552265,0.0,train
0.04999999999999993,0,0.2612095778569947,0.0,train
0.35,1,0.891425291013617,1.0,train
0.04999999999999993,0,5.184749925865543,0.0,train
0.25,0,0.5012397688014807,0.0,train
0.44999999999999996,22,0.04985876990241529,1.0,train
0.04999999999999993,0,5.460339168531126,0.0,train
0.25,0,1.7904280616556225,0.0,train
0.15000000000000002,0,1.055955539777885,0.0,train
0.15000000000000002,0,2.808265611681512,0.0,train
0.25,3,0.07367812936480551,1.0,train
0.25,4,0.10258916638064798,1.0,train
0.04999999999999993,0,0.5882351763615568,0.0,train
0.15000000000000002,0,0.1691073855561973,0.0,train
0.44999999999999996,0,0.5363858159612254,0.0,train
0.44999999999999996,0,4.978911240666211,0.0,train
0.44999999999999996,0,5.792760609955037,0.0,train
0.04999999999999993,0,1.8396942827866491,0.0,train
0.04999999999999993,0,2.0882297372651903,0.0,train
0.35,0,3.0642661368721,0.0,train
0.25,0,3.3755391730002984,0.0,train
0.15000000000000002,0,3.453791250124787,0.0,train
0.15000000000000002,0,2.5171158013625896,0.0,train
0.04999999999999993,1,1.1320638315955809,1.0,train
0.15000000000000002,0,1.835289215273649,0.0,train
0.25,2,0.16465622638834268,1.0,train
0.25,4,0.3344680093674351,1.0,train
0.25,0,2.26245139791331,0.0,train
0.44999999999999996,2,0.45798680729011526,1.0,train
0.25,0,3.129438185850632,0.0,train
0.25,0,2.7593704332804903,0.0,train
0.15000000000000002,0,2.191942780905028,0.0,train
0.25,0,1.0164072969480178,0.0,train
0.04999999999999993,0,5.965269558176361,0.0,train
0.25,0,3.5502586582131808,0.0,train
0.35,0,2.5657213947910424,0.0,train
0.04999999999999993,0,3.3392784198321386,0.0,train
0.35,0,5.991909247295848,0.0,train
0.44999999999999996,8,0.21870715423399703,1.0,train
0.15000000000000002,0,0.4269449336249831,0.0,train
0.44999999999999996,0,5.805943295523441,0.0,train
0.35,0,4.512912156246589,0.0,train
0.44999999999999996,0,0.724963011271017,0.0,train
0.44999999999999996,2,1.1948749075313752,1.0,train
0.15000000000000002,1,2.1915039757498587,1.0,train
0.44999999999999996,0,0.7272553538271564,0.0,train
0.04999999999999993,0,0.46488493725336144,0.0,train
0.35,0,0.7305510964459005,0.0,train
0.44999999999999996,0,3.5273427754014195,0.0,train
0.44999999999999996,0,1.5018472808973171,0.0,train
0.44999999999999996,3,0.6808962170080963,1.0,train
0.35,0,4.162754012710979,0.0,train
0.35,1,0.9375544178436065,1.0,train
0.15000000000000002,0,1.476129087074928,0.0,train
0.44999999999999996,0,4.598131085059249,0.0,train
0.44999999999999996,0,1.6456674012842625,0.0,train
0.44999999999999996,0,5.587290919777674,0.0,train
0.04999999999999993,1,0.4253290500751672,0.0,train
0.15000000000000002,0,5.8189724144324,0.0,train
0.25,0,0.23583087206977793,0.0,train
0.35,19,0.05393905163291162,1.0,train
0.25,0,3.0002892416061364,0.0,train
0.15000000000000002,0,3.873266532073753,0.0,train
0.04999999999999993,0,1.5488247183003525,0.0,train
0.15000000000000002,0,2.1357502039410403,0.0,train
0.04999999999999993,0,5.883153957001952,0.0,train
0.35,0,4.005627841658059,0.0,train
0.15000000000000002,0,3.179849182603971,0.0,train
0.04999999999999993,0,3.608319342642549,0.0,train
0.04999999999999993,0,4.328079964230993,0.0,train
0.35,0,0.543335166083029,0.0,train
0.15000000000000002,0,3.968985269155501,0.0,train
0.44999999999999996,10,0.0877062582491452,1.0,train
0.44999999999999996,0,5.791987654428132,0.0,train
0.35,0,2.149939180963095,0.0,train
0.35,0,1.654851810116817,0.0,train
0.44999999999999996,0,5.872755082559344,0.0,train
0.25,0,3.9597165795775497,0.0,train
0.44999999999999996,0,5.24904598094674,0.0,train
0.04999999999999993,0,4.869898426268961,0.0,train
0.25,0,5.554436965766379,0.0,train
0.04999999999999993,0,1.9495736560940538,0.0,train
0.15000000000000002,0,0.05179618549383003,0.0,train
0.35,0,3.5748543585295014,0.0,train
0.25,0,4.535642971469276,0.0,train
0.25,0,3.150835556273714,0.0,train
0.15000000000000002,0,5.600365711662047,0.0,train
0.15000000000000002,0,1.0031728461525002,0.0,train
0.04999999999999993,0,2.3277411295697474,0.0,train
0.35,0,1.32880594174351,0.0,train
0.35,1,0.42366845276554116,1.0,train
0.44999999999999996,0,0.8150377541544376,0.0,train
0.35,1,0.09000006771767054,1.0,train
0.35,0,1.0623927104286264,0.0,train
0.25,0,3.270779869494631,0.0,train
0.44999999999999996,0,4.762710975276539,0.0,train
0.25,0,2.3108169184547567,0.0,train
0.04999999999999993,0,1.33985076405316,0.0,train
0.44999999999999996,5,0.036677422048646324,1.0,train
0.25,0,1.612280476001457,0.0,train
0.04999999999999993,0,2.4886496819591364,0.0,train
0.35,5,0.3294236945983479,1.0,train
0.15000000000000002,0,3.194512631971648,0.0,train
0.04999999999999993,0,3.7794832717223397,0.0,train
0.44999999999999996,1,0.47277551651342065,1.0,train
0.44999999999999996,0,1.121285801804565,0.0,train
0.04999999999999993,0,5.031913750019358,0.0,train
0.44999999999999996,59,0.01658306596554975,1.0,train
0.04999999999999993,0,2.187303645156243,0.0,train
0.25,1,0.2941101247079969,1.0,train
0.25,1,1.0590570119491929,1.0,train
0.15000000000000002,1,1.4979716394617497,0.0,train
0.25,0,3.2905849658295985,0.0,train
0.44999999999999996,1,0.8989051774529574,1.0,train
0.04999999999999993,0,3.6953839525669494,0.0,train
0.15000000000000002,0,4.694693530698276,0.0,train
0.35,7,0.16173375222322567,1.0,train
0.35,0,5.736541885593641,0.0,train
0.44999999999999996,0,5.807371315695382,0.0,train
0.44999999999999996,1,0.07520318736587131,1.0,train
0.15000000000000002,2,0.2670887582846779,1.0,train
0.44999999999999996,2,0.2951734412724918,1.0,train
0.35,0,4.431602641568324,0.0,train
0.15000000000000002,0,0.9110310436580571,0.0,train
0.04999999999999993,0,2.0428901434199425,0.0,train
0.04999999999999993,0,2.052231737217894,0.0,train
0.35,1,0.8595064237674218,1.0,train
0.15000000000000002,0,4.656510771451005,0.0,train
0.25,0,2.643121888889559,0.0,train
0.25,0,3.1322832472593785,0.0,train
0.04999999999999993,0,0.29675037889135525,0.0,train
0.15000000000000002,0,1.185785722572096,0.0,train
0.04999999999999993,0,1.7248483047251357,0.0,train
0.15000000000000002,0,3.5174542466041836,0.0,train
0.35,0,1.1026627692661646,0.0,train
0.15000000000000002,0,1.7392637655471421,0.0,train
0.35,1,3.30576419608335,1.0,train
0.04999999999999993,0,3.8080613446430807,0.0,train
0.44999999999999996,13,0.0057768903225226785,1.0,train
0.25,0,5.800869129210303,0.0,train
0.35,5,0.17075343395693426,1.0,train
0.35,0,5.969224228821329,0.0,train
0.15000000000000002,0,3.9288018216053597,0.0,train
0.15000000000000002,0,2.296135387102429,0.0,train
0.15000000000000002,0,2.19401680076966,0.0,train
0.44999999999999996,2,0.1365387521399614,1.0,train
0.15000000000000002,0,0.6256035457148481,0.0,train
0.04999999999999993,1,0.9543963154135922,0.0,train
0.44999999999999996,4,0.16888471098835045,1.0,train
0.35,12,0.024444292574086708,1.0,train
0.04999999999999993,0,1.3182255261783198,0.0,train
0.35,0,0.4873867202881115,0.0,train
0.04999999999999993,0,5.735740812834585,0.0,train
0.35,0,3.507361231783393,0.0,train
0.35,0,0.7849340291267646,0.0,train
0.25,0,3.858632820583267,0.0,train
0.04999999999999993,0,3.853614893616367,0.0,train
0.25,1,1.024809907043839,1.0,train
0.25,0,2.691443561982263,0.0,train
0.35,1,0.39405574812480715,1.0,train
0.04999999999999993,0,0.3618995213102649,0.0,train
0.44999999999999996,0,2.8755658014859184,0.0,train
0.15000000000000002,1,0.28096420618242235,1.0,train
0.44999999999999996,0,2.7827639677626603,0.0,train
0.35,5,0.0810156993103271,1.0,train
0.35,9,0.048754221964698884,1.0,train
0.44999999999999996,4,0.21523032829057065,1.0,train
0.35,0,4.337126820638782,0.0,train
0.25,0,5.53189128191602,0.0,train
0.35,0,2.5153528259375384,0.0,train
0.15000000000000002,0,2.192388928498061,0.0,train
0.25,0,0.46742725646684335,0.0,train
0.44999999999999996,0,4.205922264911686,0.0,train
0.35,1,0.09438847163474337,1.0,train
0.04999999999999993,0,4.299455741224895,0.0,train
0.44999999999999996,0,3.301345364618573,0.0,train
0.35,0,0.5056862125665293,0.0,train
0.44999999999999996,0,4.048136153622794,0.0,train
0.15000000000000002,0,0.9057122507169937,0.0,train
0.35,0,4.9867257697396195,0.0,train
