theta,m,t,delta,set
0.10536051565782635,0,2.5837643093931693,0.0,train
0.5108256237659907,0,1.1109567257308675,0.0,train
0.05129329438755048,0,5.167594976966842,0.0,train
0.3566749439387324,2,0.29890501615788057,1.0,train
0.10536051565782635,0,1.1066097516745466,0.0,train
0.05129329438755048,0,4.46863998048763,0.0,train
0.3566749439387324,0,2.4649693117636877,0.0,train
0.05129329438755048,0,1.4776635158212337,0.0,train
0.10536051565782635,0,3.75987183103955,0.0,train
0.5108256237659907,1,0.07222396067630214,1.0,train
0.22314355131420976,0,1.5806935143927592,0.0,train
0.05129329438755048,0,2.9765493201845095,0.0,train
0.10536051565782635,0,1.0639837169524071,0.0,train
0.22314355131420976,0,3.5882555919152384,0.0,train
0.10536051565782635,0,4.931442402233756,0.0,train
0.22314355131420976,0,4.375822690646548,0.0,train
0.3566749439387324,0,0.44048439111903637,0.0,train
0.5108256237659907,10,0.08256223987655989,1.0,train
0.5108256237659907,0,3.8902520183838982,0.0,train
0.5108256237659907,1,0.4492463400979616,1.0,train
0.22314355131420976,0,2.978084491651543,0.0,train
0.05129329438755048,1,1.0877545081648978,1.0,train
0.10536051565782635,0,1.7917363113327278,0.0,train
0.22314355131420976,1,0.5460359543026084,1.0,train
0.22314355131420976,0,4.302379638842364,0.0,train
0.22314355131420976,0,3.8622243802538083,0.0,train
0.05129329438755048,0,0.5706519140313675,0.0,train
0.05129329438755048,0,5.053208628112503,0.0,train
0.5108256237659907,0,5.301213500287118,0.0,train
0.5108256237659907,0,1.1987790430089467,0.0,train
0.3566749439387324,0,3.2422766327210093,0.0,train
0.3566749439387324,0,2.0907172252160606,0.0,train
0.5108256237659907,0,5.6280986143226475,0.0,train
0.3566749439387324,0,4.540570470358499,0.0,train
0.05129329438755048,0,5.067891511536908,0.0,train
0.05129329438755048,0,3.3637391462871524,0.0,train
0.3566749439387324,0,3.8959127191978515,0.0,train
0.3566749439387324,0,3.339626843830997,0.0,train
0.05129329438755048,0,2.7539820099451218,0.0,train
0.3566749439387324,0,2.001520612381194,0.0,train
0.05129329438755048,0,3.262733291004493,0.0,train
0.22314355131420976,0,5.86037002485495,0.0,train
0.5108256237659907,6,0.012998493132379656,1.0,train
0.5108256237659907,0,0.08560907687801911,0.0,train
0.3566749439387324,0,3.375038974905106,0.0,train
0.22314355131420976,0,4.237981533511866,0.0,train
0.3566749439387324,0,1.8156564465113143,0.0,train
0.22314355131420976,0,2.6439937116627785,0.0,train
0.22314355131420976,1,0.24855825476850135,1.0,train
0.3566749439387324,0,1.6901755085756838,0.0,train
0.5108256237659907,4,0.023945500536260565,1.0,train
0.5108256237659907,0,2.5582199905817973,0.0,train
0.10536051565782635,0,2.8128953084299884,0.0,train
0.3566749439387324,4,0.11169183333526678,1.0,train
0.05129329438755048,0,5.168940298480662,0.0,train
0.05129329438755048,0,4.0323637688620755,0.0,train
0.3566749439387324,1,0.22262355190685618,1.0,train
0.05129329438755048,0,2.919550542584831,0.0,train
0.5108256237659907,1,0.17127008660597942,1.0,train
0.3566749439387324,0,5.49693406519188,0.0,train
0.05129329438755048,0,5.655334153890135,0.0,train
0.10536051565782635,0,3.7511732706796845,0.0,train
0.5108256237659907,2,0.02809312237025452,0.0,train
0.22314355131420976,1,0.33318681045707477,0.0,train
0.05129329438755048,0,3.9877213417280997,0.0,train
0.5108256237659907,2,0.1466352450883522,1.0,train
0.10536051565782635,0,2.49529152748418,0.0,train
0.22314355131420976,0,0.11734298228021212,0.0,train
0.10536051565782635,0,1.3151778660494113,0.0,train
0.3566749439387324,0,1.7527846117197934,0.0,train
